DATE,PROVINCE,ESTABLISH_NAME,ADDRESS,CITY,VENDOR_NUMBER_PO,VENDOR_NAME,PRODUCT_SKU_NO,PRODUCT_NAME,WEEK_ENDING_DATE,CASE_SALES
10/14/2024,BC,INSPIRED CANNABIS CO.,Unit 120 - 8077 120th Street,Delta,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-21 0:00,1
10/14/2024,BC,INSPIRED CANNABIS CO.,Unit 120 - 8077 120th Street,Delta,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-05 0:00,1
10/14/2024,BC,INVERMERE CANNABIS STORE,4884 Athalmer Rd,Invermere,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-28 0:00,1
10/14/2024,BC,INVERMERE CANNABIS STORE,4884 Athalmer Rd,Invermere,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-09-28 0:00,1
10/14/2024,BC,INVERMERE CANNABIS STORE,4884 Athalmer Rd,Invermere,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-10-05 0:00,1
10/14/2024,BC,INVERMERE CANNABIS STORE,4884 Athalmer Rd,Invermere,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-12 0:00,2
10/14/2024,BC,ISLAND CANNABIS COMPANY LTD.,9-2220 Bowen Road,Nanaimo,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
10/14/2024,BC,ISLAND CANNABIS COMPANY LTD.,9-2220 Bowen Road,Nanaimo,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-12 0:00,1
10/14/2024,BC,ISLAND CANNABIS COMPANY LTD.,9-2220 Bowen Road,Nanaimo,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-10-12 0:00,1
10/14/2024,BC,JEFFREY'S CANNABIS SHOP,2123 Columbia Ave.,Rossland,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,JERRYS CANNABIS CO.,170 Lake Cowichan Rd,Lake Cowichan,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,2
10/14/2024,BC,KALAMALKA CANNABIS,2-1220 Kalamalka Lake Road,Vernon,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,1
10/14/2024,BC,KALAMALKA CANNABIS,2-1220 Kalamalka Lake Road,Vernon,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-10-05 0:00,1
